movieId,title_x,genres,year,era,title_y,tag,tag_vector
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure Drama Fantasy Mystery Sci-Fi,1995.0,B,"City of Lost Children, The (Cité des enfants perdus, La)",'kidnapping',"[-0.00988402  0.03086041 -0.02891925  0.03222844 -0.02038562 -0.03472044
 -0.03920966  0.02273577 -0.01692254  0.04344732 -0.0291521   0.02666884
 -0.00296421  0.0285655  -0.00415306 -0.02330045 -0.04759087  0.02652658
 -0.03753217 -0.0121103 ]"
31,Dangerous Minds,Drama,1995.0,B,Dangerous Minds,"'high school', 'teacher'","[-0.1337749  -0.23190401  0.607212   -0.807946    0.29038426  0.5009349
  0.6519961  -0.05872976 -0.9467929   0.585377   -1.2420348   0.5609502
 -0.16832906 -0.34633476  0.64119464 -0.10583612  0.6344521  -0.67484313
 -0.18183121 -0.15202631]"
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery Sci-Fi Thriller,1995.0,B,Twelve Monkeys (a.k.a. 12 Monkeys),"'mindfuck', 'Bruce Willis', 'remake', 'Brad Pitt', 'time travel', 'Post apocalyptic', 'twist ending', 'post-apocalyptic'","[-0.9554495  -0.37451798 -1.9417447  -1.0844094   0.469613   -0.33960453
  0.15438868  2.05302    -1.114014    0.56798184 -1.8537787  -0.9304748
  0.77511126  2.180406   -1.5558258   0.20139936  0.02546374  0.37693912
  0.6911336  -0.04940239]"
34,Babe,Children Drama,1995.0,B,Babe,"'villain nonexistent or not needed for good story', 'pigs', 'Animal movie'","[ 0.45286602  0.05073919  0.42960203 -1.9241272  -0.17562634  2.4034748
  1.2404618   0.69908535 -1.8253307   1.196923    0.38867468  1.4281335
 -0.08288927  2.1974034   0.71091384 -0.9930376  -0.15677397  0.11095729
  0.6951115   0.63767856]"
36,Dead Man Walking,Crime Drama,1995.0,B,Dead Man Walking,"'death penalty', 'Nun'","[-1.0762284  -0.4714454   0.5809255  -1.3009349   0.13343234 -0.02170013
  1.4386371   0.29007077 -1.0583818  -0.11239512 -0.79492676 -0.3148767
  0.21539871  0.80820763 -0.88264686 -0.96520305  0.47408968 -0.69925857
  0.15008205  0.04148668]"
38,It Takes Two,Children Comedy,1995.0,B,It Takes Two,'twins',"[-0.01653495  0.00736366 -0.01811441 -0.04074907  0.01820756 -0.04120297
 -0.00333238 -0.03075707 -0.0376487   0.04159384  0.01194873 -0.03297684
  0.02410604 -0.03471776 -0.00599304 -0.00193208 -0.0471908   0.0369109
 -0.01923778 -0.00690058]"
39,Clueless,Comedy Romance,1995.0,B,Clueless,"'seen more than once', 'chick flick', 'quotable', 'Emma', 'funny', 'Jane Austen', 'Paul Rudd'","[-0.05355235 -1.4027054  -0.7624048   0.5085519   1.8466476   1.9996719
  0.49647743  1.0300962  -1.8974948  -0.05367358 -1.5615177   0.35687894
  1.3479548  -0.63097656 -0.42300126 -0.6359485   0.8618007   0.11020561
  0.12307499  0.8528032 ]"
40,"Cry, the Beloved Country",Drama,1995.0,B,"Cry, the Beloved Country","'In Netflix queue', 'South Africa'","[ 0.02942805 -0.7004537   0.22027162 -0.4728733   1.1514174  -0.36194408
 -0.6818798   0.71466166 -1.7648872   0.8478666  -0.11797075 -0.27267513
  0.8713927   1.2842379   0.4686737  -0.29439485  0.61366063 -0.21465364
 -0.17144234  0.76926273]"
41,Richard III,Drama War,1995.0,B,Richard III,'Shakespeare',"[-0.01448337 -0.04103311  0.00614339 -0.03780218  0.01643087  0.01527342
  0.02792315 -0.034707   -0.00104842 -0.00136622  0.02224997  0.02804179
  0.01712925 -0.04184582 -0.00345505 -0.0453932  -0.03351187  0.04388717
  0.02905403 -0.02800147]"
43,Restoration,Drama,1995.0,B,Restoration,'England',"[ 0.02418241  0.0063881   0.0306511   0.0306508  -0.04897053  0.04064479
 -0.04428279 -0.03859875 -0.00665567  0.00620554 -0.02619387  0.00063146
  0.00681871 -0.01757082 -0.00787472 -0.03338314 -0.02408126 -0.02454799
 -0.02173185  0.02239005]"
45,To Die For,Comedy Drama Thriller,1995.0,B,To Die For,'Journalism',"[ 0.04661181 -0.04840678  0.04367694 -0.0183129   0.0226602  -0.02995439
  0.04545113  0.04093938 -0.03708808 -0.02184817  0.01637298 -0.00563509
 -0.01478304  0.02623997  0.02271794 -0.0325413   0.01237296  0.03910048
  0.04195002  0.01737034]"
46,How to Make an American Quilt,Drama Romance,1995.0,B,How to Make an American Quilt,'wedding',"[ 0.02238024  0.00196534 -0.03841433  0.00621464 -0.02252646 -0.031502
 -0.00939264 -0.00909202  0.04017776  0.00673209 -0.03209833 -0.02627596
  0.02868528 -0.01051875  0.04718259  0.03313922 -0.0008862  -0.008002
 -0.04225459  0.01886815]"
47,Seven (a.k.a. Se7en),Mystery Thriller,1995.0,B,Seven (a.k.a. Se7en),"'twist ending', 'mystery', 'serial killer'","[ 0.3779945   0.80624604 -0.5237096  -0.5397897   1.1513599   0.6957636
  0.01505246  1.2479056  -0.1922203  -0.26191258 -1.6158918  -0.5575563
  1.0435565   0.5888005   0.11383741 -0.59221804  1.0652502   0.38346988
  0.5998709  -0.28344783]"
50,"Usual Suspects, The",Crime Mystery Thriller,1995.0,B,"Usual Suspects, The","'heist', 'mindfuck', 'tricky', 'suspense', 'twist ending', 'thriller'","[ 0.11596761  0.31588072 -0.44268945 -0.71164644  0.6762323  -0.0620055
 -0.23723258  0.5406381  -0.8738817  -0.15551122 -0.9038961   0.06925521
  0.9480318   0.7157705  -0.11758874 -0.18689567  0.5978048   0.15888765
  0.4132466  -0.15462486]"
52,Mighty Aphrodite,Comedy Drama Romance,1995.0,B,Mighty Aphrodite,"'adoption', 'prostitution'","[-0.03659389 -0.01352189  0.03337971 -0.03606112  0.01433169 -0.0014704
 -0.02035123  0.04000745  0.04228409 -0.04357781  0.04153701  0.01746533
 -0.01631208  0.0478242   0.03881769  0.01721432  0.00166992 -0.02543218
  0.02055036 -0.02937779]"
58,"Postman, The (Postino, Il)",Comedy Drama Romance,1994.0,B,"Postman, The (Postino, Il)",'writing',"[ 0.0342686  -0.02167413  0.02216337 -0.0303903  -0.00215863  0.00811707
 -0.00103374  0.02434114 -0.0230387   0.03556387  0.02830727 -0.0328669
 -0.02943552  0.04391555  0.0022907  -0.0254542  -0.023319   -0.03201157
  0.00292398  0.00258764]"
62,Mr. Holland's Opus,Drama,1995.0,B,Mr. Holland's Opus,'music',"[ 0.03603632 -0.04740109  0.04410306  0.03576026 -0.00478855 -0.01618088
  0.04430006  0.03153355  0.02232772  0.03319293 -0.04766572  0.02910014
 -0.01826856 -0.04007388 -0.02226618  0.03797157  0.04297056  0.03587396
 -0.0141358  -0.01321133]"
92,Mary Reilly,Drama Horror Thriller,1996.0,B,Mary Reilly,'Jekyll and Hyde',"[ 0.9726782   0.55997694 -0.18389086 -0.2673692   1.405853    0.05472224
 -0.5870408   1.1857498  -1.3542265  -0.10970529 -0.73862875  0.66969806
 -0.5252479   0.78672034 -0.6641042  -0.3613278   0.35001653 -1.0397317
  0.23732133  0.05481146]"
96,In the Bleak Midwinter,Comedy Drama,1995.0,B,In the Bleak Midwinter,'theater',"[-0.01979381 -0.00154767 -0.04534604  0.01296676  0.01382903  0.03935816
  0.02313255  0.01680854 -0.03931347  0.04315397 -0.02046254 -0.04684385
 -0.03536489 -0.02630079  0.00897792  0.03033474 -0.02043417 -0.02357643
  0.0285884   0.00315376]"
101,Bottle Rocket,Adventure Comedy Crime Romance,1996.0,B,Bottle Rocket,"'crime', 'quirky', 'off-beat comedy'","[ 0.2853343   0.26198614 -0.05356616 -0.86737746  0.4838635   0.46225542
  0.63916755  0.6771753  -0.00321503  0.3122963  -0.5925628  -0.09424094
 -0.14179802  0.22863874 -0.2339941   0.34866852  0.8864379  -0.09584909
  0.56474054  0.35884324]"
104,Happy Gilmore,Comedy,1996.0,B,Happy Gilmore,"'golf', 'test tag', 'Adam Sandler'","[-1.275029    0.5375682   1.171173   -0.2604883   1.1944414   0.6698273
  0.3187223   0.2398112  -0.20330155  1.4791801  -1.0960118   1.7068613
  0.5604591   1.5262874   0.31336385 -0.6253235   0.40008155  0.28190234
  0.5488468  -0.96484613]"
107,Muppet Treasure Island,Adventure Children Comedy Musical,1996.0,B,Muppet Treasure Island,'muppets',"[ 0.02491113 -0.01258997 -0.04515747 -0.01913566 -0.02753943  0.03987589
  0.01468592 -0.01427743 -0.01086533 -0.03650762 -0.02382432  0.03703249
 -0.04887734  0.04270875  0.02897891 -0.0479717   0.01149632 -0.04895996
  0.01848428 -0.03885641]"
110,Braveheart,Action Drama War,1995.0,B,Braveheart,"'Medieval', 'historical', 'inspirational', 'beautiful scenery', 'Oscar (Best Cinematography)', 'Scotland', 'epic', 'mel gibson', 'sword fight', 'revenge'","[ 0.27911472  0.56864214  0.49362484  0.575824    2.704713   -0.738851
  2.0758817   0.48309207 -0.78976303  0.45965487 -0.8503401   0.550737
  2.8030415   1.5724286  -0.97444546 -0.43070745  0.81331736 -1.1525673
  0.12109723 -0.8668374 ]"
111,Taxi Driver,Crime Drama Thriller,1976.0,N,Taxi Driver,'assassination',"[ 0.02930212  0.01748639 -0.02334812  0.03592671 -0.03815363  0.03843527
 -0.030047    0.01501805  0.04610239  0.04668535 -0.01006479  0.0019397
 -0.04882158  0.0139291  -0.01614243 -0.04974917 -0.02400587  0.0272509
 -0.01747895 -0.0339246 ]"
116,Anne Frank Remembered,Documentary,1995.0,B,Anne Frank Remembered,'Holocaust',"[-0.01647225 -0.009712   -0.03060042 -0.03980752 -0.00718392  0.00729953
  0.00068108  0.03349463 -0.02958913  0.04055644  0.03760757  0.00629137
 -0.04990568 -0.01855003 -0.03477092  0.04131597  0.04150442 -0.01105292
  0.02748904 -0.02548153]"
122,Boomerang,Comedy Romance,1992.0,B,Boomerang,'dating',"[-0.00414322 -0.04275134  0.04180733 -0.02430499 -0.03747939  0.03162061
  0.04378328 -0.00043654  0.03903848  0.00882313 -0.02863892 -0.0144975
 -0.00354853  0.00612166 -0.04489437 -0.03005473 -0.00449095  0.0480819
 -0.00612487  0.02722058]"
140,Up Close and Personal,Drama Romance,1996.0,B,Up Close and Personal,'journalism',"[ 0.01678362 -0.01334979 -0.03129335 -0.04519334 -0.02992721 -0.02894178
 -0.03116876 -0.00302915  0.00665517 -0.03126613 -0.01910086  0.02113083
 -0.04548438 -0.0355541  -0.02944752  0.04210678  0.00015352 -0.04569534
 -0.01444578  0.03640437]"
147,"Basketball Diaries, The",Drama,1995.0,B,"Basketball Diaries, The","'heroin', 'Leonardo DiCaprio', 'addiction', 'Mark Wahlberg'","[-0.5247944  -1.184352    0.2696564  -0.6875079  -0.17208292  0.2793971
 -0.50318253  1.7193387  -2.0716293   0.32068923 -0.9435758  -0.14890349
  0.16777731 -0.30827168 -0.37172922 -0.4768987   1.0582259  -0.7356387
  0.46945405  1.5774399 ]"
150,Apollo 13,Adventure Drama IMAX,1995.0,B,Apollo 13,"'space', 'moon', 'NASA'","[ 0.00033453  0.04242026  0.0413958   0.03897925  0.00583336  0.04303996
 -0.03236012  0.02296794  0.01366962 -0.01420146  0.00833663 -0.01033707
 -0.00402212 -0.04415097 -0.02847541  0.02156422 -0.03705893 -0.04212756
  0.04103224 -0.02492926]"
153,Batman Forever,Action Adventure Comedy Crime,1995.0,B,Batman Forever,'superhero',"[-0.03482498  0.04818357 -0.00034351 -0.01496947 -0.02865523  0.04475411
 -0.0161487   0.02135292  0.00779961  0.02418785  0.00985798 -0.0414073
  0.03912973  0.01833777 -0.00707296  0.01860779  0.0429019   0.02170338
  0.01898642 -0.03054646]"
160,Congo,Action Adventure Mystery Sci-Fi,1995.0,B,Congo,'Michael Crichton',"[ 0.2380873  -0.07948655 -0.21039107 -0.7928771   0.8784866  -0.05650012
  1.152061    0.69669074 -0.5419562   0.22684649 -0.7513784  -0.1530743
 -0.32389864  0.5392611   0.39885426 -0.04084605  1.433876   -1.470284
 -0.8485503  -0.19030012]"
161,Crimson Tide,Drama Thriller War,1995.0,B,Crimson Tide,'submarine',"[ 0.00875021 -0.01437635  0.00445524  0.00335501  0.0114071   0.01257064
 -0.03512479  0.03782816 -0.04260666  0.02213787 -0.00813289  0.04775763
  0.00130792  0.00103086 -0.01866154  0.00304608  0.03649871 -0.01867884
  0.04776384  0.00728462]"
162,Crumb,Documentary,1994.0,B,Crumb,'In Netflix queue',"[-0.2690931  -0.07441402  0.60805184 -0.15593758  0.64926344  0.17708203
  0.23090181  0.7011843  -0.49362007  0.48645404 -0.381716    0.08716768
  0.45427987  0.29451564 -0.07917893 -0.6649284   0.19622575  0.20892476
 -0.19717093  0.47254568]"
175,Kids,Drama,1995.0,B,Kids,"'New York City', 'controversial', 'Nudity (Full Frontal)'","[-0.24571735  0.57717675  0.6229393  -0.510764    1.7561011   0.48633683
  0.65296996  0.18543565 -1.4938967   0.05122783 -1.4273705  -0.72834736
  1.3321475   1.6276644   0.8582192   0.0188472   1.1699508  -1.8507872
  1.6136379   1.8392829 ]"
185,"Net, The",Action Crime Thriller,1995.0,B,"Net, The",'computers',"[ 0.04329289  0.02958274  0.02148977  0.02703961  0.02097381  0.02617419
 -0.00227191  0.00178233  0.03658995 -0.005349   -0.01984007  0.0480817
 -0.04204743  0.00494719  0.00546911  0.00456851  0.04773115 -0.00854219
 -0.02883878  0.00579491]"
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama Musical Romance,1964.0,G,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",'Made me cry',"[-0.05945089 -0.2428601  -0.4515639  -0.9114603   0.5420634   0.759755
  0.48219877  0.37677088 -1.4869246   0.91594994 -0.39251295  0.6583518
  1.3902553  -0.23059785 -0.24490137 -0.36017635 -0.33439395 -1.2498785
  0.494919   -0.91222495]"
215,Before Sunrise,Drama Romance,1995.0,B,Before Sunrise,'generation X',"[-0.6617031   0.24223617 -0.49947143 -0.318461    1.2665689   0.51229846
  0.8474359   0.8203299  -0.04888532  1.1353959  -1.4726752   0.2927543
  0.03058605 -0.33859253  0.84851223 -0.2814189   0.49592385 -1.2381003
  0.8053516   0.14701621]"
216,Billy Madison,Comedy,1995.0,B,Billy Madison,"'school', 'stop looking at me swan', 'Adam Sandler'","[-1.5599356   0.16948333  0.72077733 -0.41885903  1.1533782   0.92679465
  0.10068848  0.17904869 -1.0036739   2.2217302  -1.0733038   2.1184778
  1.0044487   0.73564357 -0.08381756 -0.05573657  0.44509318  0.62050414
  0.5221305  -1.256499  ]"
222,Circle of Friends,Drama Romance,1995.0,B,Circle of Friends,'Ireland',"[-0.02474524 -0.01536619 -0.00369162 -0.04526426 -0.02178853 -0.03037664
 -0.04767057 -0.0172889  -0.01565327  0.02335637 -0.04439567 -0.01912863
 -0.04880679  0.02516468 -0.00923933 -0.0173683  -0.02010874  0.00319304
  0.0282423  -0.01915071]"
223,Clerks,Comedy,1994.0,B,Clerks,"'hilarious', 'quirky', 'generation X', 'independent film', 'cynical', 'witty'","[-1.1651387   0.1845131  -0.4175234  -0.6170138   1.7321495  -0.40445152
  0.8364928   0.8950963  -0.17474227  1.2357497  -1.5877833  -0.22807851
  0.23426116 -0.30636764  0.9722092  -0.14764312  0.42474577 -1.5142953
  0.92101943  0.24797435]"
224,Don Juan DeMarco,Comedy Drama Romance,1995.0,B,Don Juan DeMarco,"'mental illness', 'psychology'","[-0.21048261  0.25472596 -0.02413398 -0.7116585   0.17599717  0.06336828
  0.49032676  0.7717821  -0.4280381   1.1295018  -0.8561245  -0.21548091
  0.51081276  0.0171192   0.12304571 -0.22954397  0.93654567  0.30101493
 -0.34568393 -0.5489974 ]"
230,Dolores Claiborne,Drama Thriller,1995.0,B,Dolores Claiborne,'Stephen King',"[-0.11432693 -0.15881105  0.5809304  -1.0775068  -0.37985173 -0.13551527
  0.02592584  0.30435076  0.03508245  0.8453291  -0.9383677   0.6850273
  0.6978507   0.85794604 -0.0271521  -0.76146704  0.70734304 -0.5670826
  0.00143915  0.18960544]"
232,Eat Drink Man Woman (Yin shi nan nu),Comedy Drama Romance,1994.0,B,Eat Drink Man Woman (Yin shi nan nu),'In Netflix queue',"[-2.79880047e-01 -9.42815095e-05  5.07308424e-01 -2.66488045e-01
  6.43067300e-01  2.30616227e-01  2.61430889e-01  6.25293314e-01
 -4.72001880e-01  4.61762667e-01 -2.54281044e-01  8.52513127e-03
  3.79865855e-01  2.44963497e-01 -2.17725728e-02 -5.49421251e-01
  1.15780875e-01  2.02052847e-01 -1.40960664e-01  5.40948689e-01]"
235,Ed Wood,Comedy Drama,1994.0,B,Ed Wood,'movie business',"[ 0.44425014 -0.26538232  0.6291525  -0.6278104   0.54577243 -0.19353676
  0.756723    1.3598293  -0.6334959   0.0277849  -0.45994726  0.39178494
  0.59219825 -0.4509632  -0.6608876  -0.8195401  -0.15706818  0.21526948
  0.24759756 -0.19580375]"
237,Forget Paris,Comedy Romance,1995.0,B,Forget Paris,"'infertility', 'basketball', 'France'","[-0.00788289 -0.04447771 -0.04085434 -0.03745098  0.00376872 -0.00720983
  0.02052166 -0.01482471  0.02690896 -0.04236565 -0.01901    -0.01439517
 -0.01466913  0.04088012 -0.00793422  0.03333134 -0.01987235 -0.02269492
  0.03256519 -0.0214223 ]"
246,Hoop Dreams,Documentary,1994.0,B,Hoop Dreams,'basketball',"[ 0.02614382 -0.02929928  0.00065175  0.00167477  0.03533681 -0.0156089
  0.01069598  0.0323137   0.00382544 -0.02419106 -0.00085466  0.00603272
 -0.03119941  0.03126488 -0.04277802  0.04923695  0.04447913  0.04231574
 -0.03321746 -0.04670376]"
247,Heavenly Creatures,Crime Drama,1994.0,B,Heavenly Creatures,'Australia',"[ 0.04876081 -0.01069145 -0.02662109  0.01230524 -0.00699815 -0.04016983
  0.02982222 -0.01261784 -0.04983228  0.00955688  0.03895987  0.03217947
  0.04695722 -0.03629009  0.00833501  0.02487969 -0.04112183  0.04628856
  0.0064329   0.01587789]"
248,Houseguest,Comedy,1994.0,B,Houseguest,"'bad', 'Sinbad'","[-0.00611213  0.03915501 -0.00423352 -0.01893691 -0.02385201 -0.04506342
 -0.02583771 -0.03079017  0.00271562  0.04495075  0.02102163  0.02577434
 -0.04823882  0.00475257  0.03095214  0.00038472  0.0113129   0.01255726
 -0.04036996 -0.01751982]"
249,Immortal Beloved,Drama Romance,1994.0,B,Immortal Beloved,'Beethoven',"[-0.01584209 -0.00705978 -0.04046594  0.00648539 -0.00912209  0.00209441
 -0.03202672 -0.02849582 -0.01163594 -0.03752077 -0.03735339  0.0191157
  0.04927337  0.0391987   0.04732057 -0.04302246 -0.01865761 -0.00443523
  0.0412396   0.02048601]"
252,I.Q.,Comedy Romance,1994.0,B,I.Q.,'Einstein',"[ 0.03208976  0.02367741 -0.02497517 -0.02706069 -0.01742067  0.03989254
 -0.04589567  0.02489334  0.03293433 -0.03427916  0.02294728 -0.01914975
  0.00714001 -0.00620935  0.02523635  0.04133946 -0.0301744   0.04192492
  0.01692993 -0.01024015]"
257,Just Cause,Mystery Thriller,1995.0,B,Just Cause,'court',"[ 0.04064456  0.04310676  0.02512315  0.00917405  0.02216729 -0.00288416
 -0.04838962 -0.03070154 -0.03342962  0.02061143 -0.02035285  0.04192059
 -0.01248566 -0.01799797  0.00115063 -0.00601678  0.02801709 -0.02460275
  0.00949092  0.00990858]"
260,Star Wars: Episode IV - A New Hope,Action Adventure Sci-Fi,1977.0,N,Star Wars: Episode IV - A New Hope,"'space opera', 'oldie but goodie', 'space action', 'engrossing adventure', 'space', 'EPIC', 'classic sci-fi', 'Star Wars', 'ROBOTS AND ANDROIDS', 'action', 'space adventure', 'darth vader', 'luke skywalker', 'classic', 'great soundtrack', 'Nerd', 'sci-fi', 'space epic'","[ 1.4217118  -2.2103207   1.3264284  -2.8669105  -0.40211856  1.5319688
  1.1725614   0.85095465 -1.2336825   2.0530665  -0.06189468  0.3917161
  0.7260961  -0.7984324   0.51708186 -1.5847654   2.419493   -0.41013533
  2.3317142  -0.6258081 ]"
261,Little Women,Drama,1994.0,B,Little Women,'Louisa May Alcott',"[ 7.5625390e-01 -9.0982711e-01  5.8919039e-02  5.5369085e-01
  5.6474626e-01 -4.1457587e-01 -6.9175017e-01  1.1810899e+00
 -1.2790420e+00  8.2453668e-01 -1.8884103e+00 -1.9247885e-01
  9.2634773e-03  1.6743822e+00  3.8637504e-01 -1.1009545e+00
  1.5151731e+00 -9.3498221e-04 -6.0837734e-01  1.0837988e+00]"
262,"Little Princess, A",Children Drama,1995.0,B,"Little Princess, A","'England', 'India', 'Girl Power'","[-1.1059073  -0.04751655  0.7161102  -0.16871864  1.0861615  -0.24542515
  0.8720765   0.0617885  -1.0249883   1.0933769  -1.8550172  -0.01191081
  0.30186704 -0.6425047  -0.8891665  -0.43066052  0.00827309  0.09056838
  0.07038233  0.41323584]"
272,"Madness of King George, The",Comedy Drama,1994.0,B,"Madness of King George, The","'England', 'mental illness'","[-0.19798787  0.2660431   0.0230271  -0.652902    0.28711864  0.07411286
  0.5721561   0.850515   -0.52769434  1.03814    -0.8284102  -0.19841523
  0.51920444 -0.10203741  0.05175227 -0.24280648  1.014662    0.38652003
 -0.35660714 -0.6493685 ]"
273,Mary Shelley's Frankenstein (Frankenstein),Drama Horror Sci-Fi,1994.0,B,Mary Shelley's Frankenstein (Frankenstein),'gothic',"[ 0.01857445  0.04650073  0.01698578 -0.00940411 -0.04586563 -0.01685652
 -0.03459667  0.03749243 -0.01697704  0.01165442 -0.02957295 -0.04272956
  0.03583845 -0.00945424  0.01051967 -0.04198687  0.01635278  0.01120644
 -0.03424744  0.0347516 ]"
277,Miracle on 34th Street,Drama,1994.0,B,Miracle on 34th Street,'Christmas',"[-0.00764167  0.04929058  0.04227844  0.04882105 -0.03753765  0.01946003
  0.00211952  0.01772468 -0.03964446  0.02958912 -0.00374621 -0.04804016
 -0.03557999  0.04463943 -0.0006995   0.04588755 -0.01138361 -0.01606104
  0.04154946 -0.02215997]"
279,My Family,Drama,1995.0,B,My Family,'In Netflix queue',"[-0.30750057 -0.01953325  0.5710665  -0.2669816   0.63674337  0.3573706
  0.15511179  0.6715165  -0.49516085  0.4557215  -0.34268573 -0.00459762
  0.45753583  0.29443637 -0.08800466 -0.58926636  0.13606784  0.18351308
 -0.0963523   0.44279605]"
280,Murder in the First,Drama Thriller,1995.0,B,Murder in the First,'prison',"[ 0.04960216 -0.01922822 -0.02462704 -0.04963831  0.02509241  0.02307785
  0.00303949 -0.02130609  0.03748189 -0.03251925  0.01923475 -0.01342258
 -0.01654634  0.03243627 -0.04080347 -0.04018785 -0.00459969  0.01298229
 -0.03529807  0.04646807]"
